index,category,split,model_name,adapter_dir,prediction,answer,correct,logit_A,logit_B,logit_C,logit_D,question
0,high_school_statistics,test,Qwen/Qwen2.5-0.5B-Instruct,/home/qln/nebius-poc/results/qwen_0p5b_lora_lr5e5_dropout005_seed60,D,D,1,23.125,23.625,24.0,28.375,Which of the following is most useful in establishing cause-and-effect relationships?
1,high_school_statistics,test,Qwen/Qwen2.5-0.5B-Instruct,/home/qln/nebius-poc/results/qwen_0p5b_lora_lr5e5_dropout005_seed60,A,C,0,26.0,22.0,24.625,23.25,A sports talk show asks people to call in and give their opinion of the officiating in the local basketball team's most recent loss. What will most likely be the typical reaction?
2,high_school_statistics,test,Qwen/Qwen2.5-0.5B-Instruct,/home/qln/nebius-poc/results/qwen_0p5b_lora_lr5e5_dropout005_seed60,D,B,0,21.5,21.5,22.125,23.625,Alfred and Ben don't know each other but are each considering asking the lovely Charlene to the school prom. The probability that at least one of them will ask her is 0.72. The probability that they both ask her is 0.18. The probability that Alfred asks her is 0.6. What is the probability that Ben asks Charlene to the prom?
3,high_school_statistics,test,Qwen/Qwen2.5-0.5B-Instruct,/home/qln/nebius-poc/results/qwen_0p5b_lora_lr5e5_dropout005_seed60,D,B,0,22.125,22.5,23.0,23.25,"A random sample of 25 men and a separate random sample of 25 women are selected to answer questions about attitudes toward abortion. The answers were categorized as ""pro-life"" or ""pro-choice."" Which of the following is the proper null hypothesis for this situation?"
4,high_school_statistics,test,Qwen/Qwen2.5-0.5B-Instruct,/home/qln/nebius-poc/results/qwen_0p5b_lora_lr5e5_dropout005_seed60,D,D,1,20.5,22.5,23.125,24.625,A 2008 survey of 500 households concluded that 82% of the population uses grocery coupons. Which of the following best describes what is meant by the poll having a margin of error of 3%?
5,high_school_statistics,test,Qwen/Qwen2.5-0.5B-Instruct,/home/qln/nebius-poc/results/qwen_0p5b_lora_lr5e5_dropout005_seed60,D,D,1,21.375,22.25,22.75,24.75,A hypothesis test is set up so that P(rejecting H0 when H0 is true) = 0.05 and P(failing to reject H0 when H0 is false) = 0.26. What is the power of the test?
6,high_school_statistics,test,Qwen/Qwen2.5-0.5B-Instruct,/home/qln/nebius-poc/results/qwen_0p5b_lora_lr5e5_dropout005_seed60,C,D,0,21.875,22.125,22.625,21.875,"For a class project, Charlotte recorded the heights of all 28 students in her class and calculated several statistics. She then realized she made an error recording the height of the tallest person in the class. She correctly had him listed as the tallest, but needed to add two inches to his recorded height to correct it. Which of these measures of spread must remain unchanged?"
7,high_school_statistics,test,Qwen/Qwen2.5-0.5B-Instruct,/home/qln/nebius-poc/results/qwen_0p5b_lora_lr5e5_dropout005_seed60,D,C,0,23.875,23.75,23.625,26.25,The main purpose of blocking in an experiment is to:
8,high_school_statistics,test,Qwen/Qwen2.5-0.5B-Instruct,/home/qln/nebius-poc/results/qwen_0p5b_lora_lr5e5_dropout005_seed60,C,B,0,21.625,21.875,24.0,23.875,A manufacturer of motor oil is interested in testing the effects of a newly developed additive on the lifespan of an engine. Twenty-five different engine types are selected at random and each one is tested using oil with the additive and oil without the additive. What type of analysis will yield the most useful information?
9,high_school_statistics,test,Qwen/Qwen2.5-0.5B-Instruct,/home/qln/nebius-poc/results/qwen_0p5b_lora_lr5e5_dropout005_seed60,D,D,1,20.875,20.625,21.375,21.875,"To determine the average cost of running for a congressional seat, a simple random sample of 50 politicians is chosen and the politicians' records examined. The cost figures show a mean of $125,000 with a standard deviation of $32,000. Which of the following is the best interpretation of a 90% confidence interval estimate for the average cost of running for office?"
10,high_school_statistics,test,Qwen/Qwen2.5-0.5B-Instruct,/home/qln/nebius-poc/results/qwen_0p5b_lora_lr5e5_dropout005_seed60,D,A,0,22.0,21.625,21.875,22.875,"A filling machine puts an average of four ounces of coffee in jars, with a standard deviation of 0.25 ounces. Forty jars filled by this machine are selected at random. What is the probability that the mean amount per jar filled in the sampled jars is less than 3.9 ounces?"
