index,category,split,prediction,answer,correct,logit_A,logit_B,logit_C,logit_D,question
0,high_school_statistics,test,B,B,1,23.25,23.5,23.125,23.25,"The weight of an aspirin tablet is 300 milligrams according to the bottle label. An FDA investigator weighs a simple random sample of seven tablets, obtains weights of 299, 300, 305, 302, 299, 301, and 303, and runs a hypothesis test of the manufacturer's claim. Which of the following gives the P-value of this test?"
1,high_school_statistics,test,A,C,0,22.875,22.875,22.625,22.75,"The waiting times for a new roller coaster ride are normally distributed with a mean of 35 minutes and a standard deviation of 10 minutes. If there are 150,000 riders the first summer, which of the following is the shortest time interval associated with 100,000 riders?"
2,high_school_statistics,test,C,D,0,22.375,22.875,23.125,22.5,All of the following statements are true for all discrete random variables except for which one?
3,high_school_statistics,test,A,D,0,24.0,24.0,23.75,24.0,Which of the following is a true statement about hypothesis testing?
4,high_school_statistics,test,D,D,1,24.125,25.5,23.625,27.125,An outlier is an observation that
5,high_school_statistics,test,D,D,1,22.375,22.0,22.0,22.75,"The principal of a school is interested in estimating the average income per family of her students. She selects a random sample of students and collects information about their family income. A 95 percent confidence interval computed from this data for the mean income per family is ($35,095, $45,005). Which of the following provides the best interpretation of this confidence interval?"
6,high_school_statistics,test,A,D,0,23.375,23.0,22.25,22.75,"Researchers are conducting an experiment using a significance level of 0.05. The null hypothesis is, in fact, false. If they modify their experiment to use twice as many experimental units for each treatment, which of the following would be true?"
7,high_school_statistics,test,D,D,1,22.5,23.75,23.75,25.375,"The mean height of adult men is 70 inches, with a standard deviation of four inches. The mean height of adult women is 66 inches, with a standard deviation of three inches. Between a man with a height of 74 inches and a woman with a height of 70 inches, who is more unusually tall within his or her respective sex?"
8,high_school_statistics,test,C,C,1,22.875,24.0,27.75,25.5,Which of the following is not true about t-distributions?
9,high_school_statistics,test,D,D,1,25.0,24.875,24.25,26.25,"To study the effect of alcohol on reaction time, subjects were randomly selected and given three beers to consume. Their reaction time to a simple stimulus was measured before and after drinking the alcohol. Which of the following is a correct statement?"
10,high_school_statistics,test,D,A,0,25.125,24.875,24.25,27.875,Which of these statements correctly explains bias?
11,high_school_statistics,test,B,C,0,26.5,29.5,25.25,26.5,"A company that produces facial tissues continually monitors tissue strength. If the mean strength from sample data drops below a specified level, the production process is halted and the machinery inspected. Which of the following would result from a Type I error?"
12,high_school_statistics,test,B,D,0,23.125,23.375,23.375,23.125,The longevity of people living in a certain locality has a standard deviation of 14 years. What is the mean longevity if 30% of the people live longer than 75 years? Assume a normal distribution for life spans.
13,high_school_statistics,test,D,C,0,24.75,25.75,25.25,25.875,"Changing from a 90% confidence interval estimate for a population proportion to a 99% confidence interval estimate, with all other things being equal,"
14,high_school_statistics,test,C,D,0,23.375,23.5,23.75,23.375,Which of the following is a binomial random variable?
15,high_school_statistics,test,D,D,1,23.125,22.75,22.375,23.5,"If all the other variables remain constant, which of the following will increase the power of a hypothesis test? I.Increasing the sample size. II.Increasing the significance level. III.Increasing the probability of a Type II error."
16,high_school_statistics,test,A,B,0,25.125,24.375,24.25,24.625,"Which of the following statements is (are) true? I. In order to use a χ2 procedure, the expected value for each cell of a one- or two-way table must be at least 5. II. In order to use χ2 procedures, you must have at least 2 degrees of freedom. III. In a 4 × 2 two-way table, the number of degrees of freedom is 3."
17,high_school_statistics,test,D,D,1,23.875,23.0,22.375,24.0,"Suppose two events, E and F, have nonzero probabilities p and q, respectively. Which of the following is impossible?"
18,high_school_statistics,test,D,D,1,24.375,25.125,24.875,25.375,"The probability that there will be an accident on Highway 48 each day depends on the weather. If the weather is dry that day, there is a 0.2% chance of an accident on Highway 48; if the weather is wet that day, there is a 1.0% chance of an accident. Today, the weather station announced that there is a 20% chance of the weather being wet. What is the probability that there will be an accident on Highway 48 today?"
19,high_school_statistics,test,D,D,1,24.375,24.125,24.25,24.5,The binomial distribution is an appropriate model for which of the following?
20,high_school_statistics,test,B,D,0,22.75,23.375,23.375,23.25,"Data were collected on two variables X and Y and a least squares regression line was fitted to the data. The estimated equation for this data is y = –2.29 + 1.70x. One point has x = 5, y = 6. What is the residual for this point?"
